"code","date","ws","wd","atmos_pres"
"081810-99999",2015-07-10,4.76666666666667,233.40885198358,1016.79583333333
"081810-99999",2015-07-11,3.68194444444444,160.109527293313,1019.31666666667
"081810-99999",2015-07-12,3.34861111111111,210.921666414572,1018.64166666667
"081810-99999",2015-07-13,3.51388888888889,209.202234381734,1018.43333333333
"081810-99999",2015-07-14,3.32083333333333,218.184962383235,1018.02608695652
"081810-99999",2015-07-15,3.22777777777778,230.762140405362,1016.86086956522
"081810-99999",2015-07-16,3.35833333333333,213.533199206972,1016.00833333333
"081810-99999",2015-07-17,2.76805555555556,162.713567794013,1017.62272727273
"081810-99999",2015-07-18,3.28402777777778,197.569230970434,1016.60416666667
"081810-99999",2015-07-19,3.63333333333333,91.4687995059735,1015.16666666667
"081810-99999",2015-07-20,2.78125,187.910470031483,1015.35454545455
"081810-99999",2015-07-21,3.51944444444444,220.878690028998,1014.70416666667
"081810-99999",2015-07-22,4.20833333333333,230.836762063917,1014.78260869565
"081810-99999",2015-07-23,4.63472222222222,231.866949450313,1014.2
"081810-99999",2015-07-24,4.00555555555556,212.096848305285,1010.27083333333
"081810-99999",2015-07-25,3.06631944444444,126.169948682921,1014.37916666667
"081810-99999",2015-07-26,5.34861111111111,237.570672615868,1014
"081810-99999",2015-07-27,3.89722222222222,76.0283916358816,1012.95416666667
"081810-99999",2015-07-28,2.47638888888889,189.967642485362,1013.945
"081810-99999",2015-07-29,4.31944444444444,180.245832112391,1011.825
"081810-99999",2015-07-30,3.87083333333333,92.104934829502,1013
"081810-99999",2015-07-31,3.29347222222222,76.9933405862663,1011.9875
"081810-99999",2015-08-01,3.65833333333333,75.3413458894325,1014.74166666667
"081810-99999",2015-08-02,5.05069444444444,234.76106976703,1016.94347826087
"081810-99999",2015-08-03,4.54861111111111,224.490378064187,1016.29583333333
"081810-99999",2015-08-04,3.45625,113.650675131749,1015.8375
"081810-99999",2015-08-05,3.24236111111111,219.983364232807,1014.8375
"081810-99999",2015-08-06,2.82916666666667,90.3487675043031,1015.07083333333
"081810-99999",2015-08-07,3.18958333333333,92.1103191906753,1014.66086956522
"081810-99999",2015-08-08,2.81909722222222,321.873890196417,1018.03913043478
"081810-99999",2015-08-09,3.34347222222222,241.521660774135,1018.6
"081810-99999",2015-08-10,3.18611111111111,83.3769934739313,1015.65
"081810-99999",2015-08-11,3.45277777777778,233.601966378713,1014.77083333333
"081810-99999",2015-08-12,3.51041666666667,223.58233257909,1016.63636363636
"081810-99999",2015-08-13,3.92638888888889,191.806264370863,1013.055
"081810-99999",2015-08-14,4.81319444444444,173.573112555923,1013.45
"081810-99999",2015-08-15,3.37361111111111,61.8763459854397,1013.7347826087
"081810-99999",2015-08-16,4.13611111111111,282.857167422413,1013.30833333333
"081810-99999",2015-08-17,4.15555555555556,74.1216043451206,1013.06086956522
"081810-99999",2015-08-18,2.88972222222222,43.3489813842751,1015.03333333333
"081810-99999",2015-08-19,4,251.280789065851,1018.35217391304
"081810-99999",2015-08-20,4.13055555555556,232.779906264524,1021.05833333333
"081810-99999",2015-08-21,3.60694444444444,226.912701334326,1020.075
"081810-99999",2015-08-22,2.37951388888889,205.434768953652,1015.02083333333
"081810-99999",2015-08-23,4.68402777777778,243.061803238467,1007.58695652174
"081810-99999",2015-08-24,4.86666666666667,327.780846088129,1010.02083333333
"081810-99999",2015-08-25,3.23472222222222,190.454338920751,1019.33333333333
"081810-99999",2015-08-26,4.76388888888889,232.225642995697,1017.14166666667
"081810-99999",2015-08-27,4.00347222222222,226.924457953158,1015.99583333333
"081810-99999",2015-08-28,2.55555555555556,172.500287306298,1018.15
"081810-99999",2015-08-29,3.06388888888889,59.8141013685861,1019.87083333333
"081810-99999",2015-08-30,3.46041666666667,45.6630818037825,1018.62272727273
"081810-99999",2015-08-31,3.31111111111111,247.571538973825,1015.0625
"081810-99999",2015-09-01,3.04305555555556,156.432769002033,1015.7
"081810-99999",2015-09-02,2.615625,70.254930672212,1015.73333333333
"081810-99999",2015-09-03,5.90354166666667,64.418148472394,1014.11363636364
"081810-99999",2015-09-04,3.09861111111111,38.3209817214518,1015.29
"081810-99999",2015-09-05,3.64166666666667,215.70550543105,1019.52631578947
"081810-99999",2015-09-06,3.54236111111111,194.798834818386,1021.21304347826
"081810-99999",2015-09-07,3.92569444444444,54.1320132637791,1020.55416666667
"081810-99999",2015-09-08,2.84027777777778,71.1773575123433,1018.025
"081810-99999",2015-09-09,3.32083333333333,297.634331684348,1016.00833333333
"081810-99999",2015-09-10,3.15277777777778,353.409984097787,1015.71739130435
